Indicator,State,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Depressive Disorder,Alabama,04/23/2020,05/05/2020,18.6,14.6,23.1,14.6 - 23.1,16.5 - 20.7
Symptoms of Depressive Disorder,Alaska,04/23/2020,05/05/2020,19.2,16.8,21.8,16.8 - 21.8,16.5 - 20.7
Symptoms of Depressive Disorder,Arizona,04/23/2020,05/05/2020,22.4,19.4,25.5,19.4 - 25.5,22.2 - 24.0
Symptoms of Depressive Disorder,Arkansas,04/23/2020,05/05/2020,26.6,22.3,31.3,22.3 - 31.3,24.1 - 28.7
Symptoms of Depressive Disorder,California,04/23/2020,05/05/2020,25.4,22.5,28.6,22.5 - 28.6,24.1 - 28.7
Symptoms of Depressive Disorder,Colorado,04/23/2020,05/05/2020,22.0,19.4,24.9,19.4 - 24.9,20.8 - 22.1
Symptoms of Depressive Disorder,Connecticut,04/23/2020,05/05/2020,24.4,20.1,29.1,20.1 - 29.1,24.1 - 28.7
Symptoms of Depressive Disorder,Delaware,04/23/2020,05/05/2020,21.1,17.6,24.9,17.6 - 24.9,20.8 - 22.1
Symptoms of Depressive Disorder,District of Columbia,04/23/2020,05/05/2020,26.4,22.1,31.1,22.1 - 31.1,24.1 - 28.7
Symptoms of Depressive Disorder,Florida,04/23/2020,05/05/2020,22.5,19.7,25.4,19.7 - 25.4,22.2 - 24.0
Symptoms of Depressive Disorder,Georgia,04/23/2020,05/05/2020,25.6,21.4,30.2,21.4 - 30.2,24.1 - 28.7
Symptoms of Depressive Disorder,Hawaii,04/23/2020,05/05/2020,20.0,14.9,26.1,14.9 - 26.1,16.5 - 20.7
Symptoms of Depressive Disorder,Idaho,04/23/2020,05/05/2020,20.6,17.3,24.1,17.3 - 24.1,16.5 - 20.7
Symptoms of Depressive Disorder,Illinois,04/23/2020,05/05/2020,23.3,19.6,27.2,19.6 - 27.2,22.2 - 24.0
Symptoms of Depressive Disorder,Indiana,04/23/2020,05/05/2020,26.4,22.1,31.0,22.1 - 31.0,24.1 - 28.7
Symptoms of Depressive Disorder,Iowa,04/23/2020,05/05/2020,16.5,13.7,19.6,13.7 - 19.6,16.5 - 20.7
Symptoms of Depressive Disorder,Kansas,04/23/2020,05/05/2020,22.1,18.3,26.4,18.3 - 26.4,20.8 - 22.1
Symptoms of Depressive Disorder,Kentucky,04/23/2020,05/05/2020,23.2,19.4,27.4,19.4 - 27.4,22.2 - 24.0
Symptoms of Depressive Disorder,Louisiana,04/23/2020,05/05/2020,28.1,24.1,32.4,24.1 - 32.4,24.1 - 28.7
Symptoms of Depressive Disorder,Maine,04/23/2020,05/05/2020,19.5,16.0,23.5,16.0 - 23.5,16.5 - 20.7
Symptoms of Depressive Disorder,Maryland,04/23/2020,05/05/2020,20.9,17.9,24.1,17.9 - 24.1,20.8 - 22.1
Symptoms of Depressive Disorder,Massachusetts,04/23/2020,05/05/2020,25.9,22.7,29.4,22.7 - 29.4,24.1 - 28.7
Symptoms of Depressive Disorder,Michigan,04/23/2020,05/05/2020,25.5,22.0,29.4,22.0 - 29.4,24.1 - 28.7
Symptoms of Depressive Disorder,Minnesota,04/23/2020,05/05/2020,20.4,17.7,23.4,17.7 - 23.4,16.5 - 20.7
Symptoms of Depressive Disorder,Mississippi,04/23/2020,05/05/2020,22.9,18.7,27.6,18.7 - 27.6,22.2 - 24.0
Symptoms of Depressive Disorder,Missouri,04/23/2020,05/05/2020,21.0,17.9,24.5,17.9 - 24.5,20.8 - 22.1
Symptoms of Depressive Disorder,Montana,04/23/2020,05/05/2020,18.2,14.9,21.8,14.9 - 21.8,16.5 - 20.7
Symptoms of Depressive Disorder,Nebraska,04/23/2020,05/05/2020,19.1,15.3,23.3,15.3 - 23.3,16.5 - 20.7
Symptoms of Depressive Disorder,Nevada,04/23/2020,05/05/2020,23.6,19.1,28.7,19.1 - 28.7,22.2 - 24.0
Symptoms of Depressive Disorder,New Hampshire,04/23/2020,05/05/2020,19.5,16.5,22.7,16.5 - 22.7,16.5 - 20.7
Symptoms of Depressive Disorder,New Jersey,04/23/2020,05/05/2020,23.6,20.4,27.0,20.4 - 27.0,22.2 - 24.0
Symptoms of Depressive Disorder,New Mexico,04/23/2020,05/05/2020,22.4,18.3,26.9,18.3 - 26.9,22.2 - 24.0
Symptoms of Depressive Disorder,New York,04/23/2020,05/05/2020,28.7,24.6,33.1,24.6 - 33.1,24.1 - 28.7
Symptoms of Depressive Disorder,North Carolina,04/23/2020,05/05/2020,21.1,17.1,25.6,17.1 - 25.6,20.8 - 22.1
Symptoms of Depressive Disorder,North Dakota,04/23/2020,05/05/2020,17.0,13.7,20.7,13.7 - 20.7,16.5 - 20.7
Symptoms of Depressive Disorder,Ohio,04/23/2020,05/05/2020,21.2,18.2,24.5,18.2 - 24.5,20.8 - 22.1
Symptoms of Depressive Disorder,Oklahoma,04/23/2020,05/05/2020,20.8,16.4,25.7,16.4 - 25.7,20.8 - 22.1
Symptoms of Depressive Disorder,Oregon,04/23/2020,05/05/2020,22.5,19.7,25.4,19.7 - 25.4,22.2 - 24.0
Symptoms of Depressive Disorder,Pennsylvania,04/23/2020,05/05/2020,24.7,21.6,28.1,21.6 - 28.1,24.1 - 28.7
Symptoms of Depressive Disorder,Rhode Island,04/23/2020,05/05/2020,24.5,19.9,29.7,19.9 - 29.7,24.1 - 28.7
Symptoms of Depressive Disorder,South Carolina,04/23/2020,05/05/2020,21.6,17.9,25.7,17.9 - 25.7,20.8 - 22.1
Symptoms of Depressive Disorder,South Dakota,04/23/2020,05/05/2020,17.5,13.0,22.7,13.0 - 22.7,16.5 - 20.7
Symptoms of Depressive Disorder,Tennessee,04/23/2020,05/05/2020,22.2,17.2,27.8,17.2 - 27.8,22.2 - 24.0
Symptoms of Depressive Disorder,Texas,04/23/2020,05/05/2020,24.4,21.1,27.9,21.1 - 27.9,24.1 - 28.7
Symptoms of Depressive Disorder,Utah,04/23/2020,05/05/2020,22.9,20.0,26.0,20.0 - 26.0,22.2 - 24.0
Symptoms of Depressive Disorder,Vermont,04/23/2020,05/05/2020,20.7,15.9,26.3,15.9 - 26.3,16.5 - 20.7
Symptoms of Depressive Disorder,Virginia,04/23/2020,05/05/2020,21.5,18.0,25.3,18.0 - 25.3,20.8 - 22.1
Symptoms of Depressive Disorder,Washington,04/23/2020,05/05/2020,22.1,19.7,24.7,19.7 - 24.7,20.8 - 22.1
Symptoms of Depressive Disorder,West Virginia,04/23/2020,05/05/2020,23.4,19.5,27.6,19.5 - 27.6,22.2 - 24.0
Symptoms of Depressive Disorder,Wisconsin,04/23/2020,05/05/2020,22.0,19.2,25.0,19.2 - 25.0,20.8 - 22.1
Symptoms of Depressive Disorder,Wyoming,04/23/2020,05/05/2020,18.9,15.3,22.9,15.3 - 22.9,16.5 - 20.7
Symptoms of Anxiety Disorder,Alabama,04/23/2020,05/05/2020,25.6,20.7,30.9,20.7 - 30.9,21.7 - 27.8
Symptoms of Anxiety Disorder,Alaska,04/23/2020,05/05/2020,27.7,24.8,30.7,24.8 - 30.7,21.7 - 27.8
Symptoms of Anxiety Disorder,Arizona,04/23/2020,05/05/2020,32.3,28.0,36.8,28.0 - 36.8,31.7 - 37.0
Symptoms of Anxiety Disorder,Arkansas,04/23/2020,05/05/2020,33.7,28.2,39.6,28.2 - 39.6,31.7 - 37.0
Symptoms of Anxiety Disorder,California,04/23/2020,05/05/2020,30.8,28.2,33.5,28.2 - 33.5,30.4 - 31.6
Symptoms of Anxiety Disorder,Colorado,04/23/2020,05/05/2020,32.6,29.2,36.2,29.2 - 36.2,31.7 - 37.0
Symptoms of Anxiety Disorder,Connecticut,04/23/2020,05/05/2020,34.9,30.0,40.0,30.0 - 40.0,31.7 - 37.0
Symptoms of Anxiety Disorder,Delaware,04/23/2020,05/05/2020,29.9,25.5,34.6,25.5 - 34.6,27.9 - 30.3
Symptoms of Anxiety Disorder,District of Columbia,04/23/2020,05/05/2020,31.4,27.9,35.1,27.9 - 35.1,30.4 - 31.6
Symptoms of Anxiety Disorder,Florida,04/23/2020,05/05/2020,32.6,29.7,35.6,29.7 - 35.6,31.7 - 37.0
Symptoms of Anxiety Disorder,Georgia,04/23/2020,05/05/2020,31.9,28.1,35.9,28.1 - 35.9,31.7 - 37.0
