Indicator,State,Time Period Start Date,Time Period End Date,Value
Symptoms of Depressive Disorder,Alabama,04/23/2020,05/05/2020,18.6
Symptoms of Depressive Disorder,Alaska,04/23/2020,05/05/2020,19.2
Symptoms of Depressive Disorder,Arizona,04/23/2020,05/05/2020,22.4
Symptoms of Depressive Disorder,Arkansas,04/23/2020,05/05/2020,26.6
Symptoms of Depressive Disorder,California,04/23/2020,05/05/2020,25.4
Symptoms of Depressive Disorder,Colorado,04/23/2020,05/05/2020,22.0
Symptoms of Depressive Disorder,Connecticut,04/23/2020,05/05/2020,24.4
Symptoms of Depressive Disorder,Delaware,04/23/2020,05/05/2020,21.1
Symptoms of Depressive Disorder,District of Columbia,04/23/2020,05/05/2020,26.4
Symptoms of Depressive Disorder,Florida,04/23/2020,05/05/2020,22.5
Symptoms of Depressive Disorder,Georgia,04/23/2020,05/05/2020,25.6
Symptoms of Depressive Disorder,Hawaii,04/23/2020,05/05/2020,20.0
Symptoms of Depressive Disorder,Idaho,04/23/2020,05/05/2020,20.6
Symptoms of Depressive Disorder,Illinois,04/23/2020,05/05/2020,23.3
Symptoms of Depressive Disorder,Indiana,04/23/2020,05/05/2020,26.4
Symptoms of Depressive Disorder,Iowa,04/23/2020,05/05/2020,16.5
Symptoms of Depressive Disorder,Kansas,04/23/2020,05/05/2020,22.1
Symptoms of Depressive Disorder,Kentucky,04/23/2020,05/05/2020,23.2
Symptoms of Depressive Disorder,Louisiana,04/23/2020,05/05/2020,28.1
Symptoms of Depressive Disorder,Maine,04/23/2020,05/05/2020,19.5
Symptoms of Depressive Disorder,Maryland,04/23/2020,05/05/2020,20.9
Symptoms of Depressive Disorder,Massachusetts,04/23/2020,05/05/2020,25.9
Symptoms of Depressive Disorder,Michigan,04/23/2020,05/05/2020,25.5
Symptoms of Depressive Disorder,Minnesota,04/23/2020,05/05/2020,20.4
Symptoms of Depressive Disorder,Mississippi,04/23/2020,05/05/2020,22.9
Symptoms of Depressive Disorder,Missouri,04/23/2020,05/05/2020,21.0
Symptoms of Depressive Disorder,Montana,04/23/2020,05/05/2020,18.2
Symptoms of Depressive Disorder,Nebraska,04/23/2020,05/05/2020,19.1
Symptoms of Depressive Disorder,Nevada,04/23/2020,05/05/2020,23.6
Symptoms of Depressive Disorder,New Hampshire,04/23/2020,05/05/2020,19.5
Symptoms of Depressive Disorder,New Jersey,04/23/2020,05/05/2020,23.6
Symptoms of Depressive Disorder,New Mexico,04/23/2020,05/05/2020,22.4
Symptoms of Depressive Disorder,New York,04/23/2020,05/05/2020,28.7
Symptoms of Depressive Disorder,North Carolina,04/23/2020,05/05/2020,21.1
Symptoms of Depressive Disorder,North Dakota,04/23/2020,05/05/2020,17.0
Symptoms of Depressive Disorder,Ohio,04/23/2020,05/05/2020,21.2
Symptoms of Depressive Disorder,Oklahoma,04/23/2020,05/05/2020,20.8
Symptoms of Depressive Disorder,Oregon,04/23/2020,05/05/2020,22.5
Symptoms of Depressive Disorder,Pennsylvania,04/23/2020,05/05/2020,24.7
Symptoms of Depressive Disorder,Rhode Island,04/23/2020,05/05/2020,24.5
Symptoms of Depressive Disorder,South Carolina,04/23/2020,05/05/2020,21.6
Symptoms of Depressive Disorder,South Dakota,04/23/2020,05/05/2020,17.5
Symptoms of Depressive Disorder,Tennessee,04/23/2020,05/05/2020,22.2
Symptoms of Depressive Disorder,Texas,04/23/2020,05/05/2020,24.4
Symptoms of Depressive Disorder,Utah,04/23/2020,05/05/2020,22.9
Symptoms of Depressive Disorder,Vermont,04/23/2020,05/05/2020,20.7
Symptoms of Depressive Disorder,Virginia,04/23/2020,05/05/2020,21.5
Symptoms of Depressive Disorder,Washington,04/23/2020,05/05/2020,22.1
Symptoms of Depressive Disorder,West Virginia,04/23/2020,05/05/2020,23.4
Symptoms of Depressive Disorder,Wisconsin,04/23/2020,05/05/2020,22.0
Symptoms of Depressive Disorder,Wyoming,04/23/2020,05/05/2020,18.9
Symptoms of Anxiety Disorder,Alabama,04/23/2020,05/05/2020,25.6
Symptoms of Anxiety Disorder,Alaska,04/23/2020,05/05/2020,27.7
Symptoms of Anxiety Disorder,Arizona,04/23/2020,05/05/2020,32.3
Symptoms of Anxiety Disorder,Arkansas,04/23/2020,05/05/2020,33.7
Symptoms of Anxiety Disorder,California,04/23/2020,05/05/2020,30.8
Symptoms of Anxiety Disorder,Colorado,04/23/2020,05/05/2020,32.6
Symptoms of Anxiety Disorder,Connecticut,04/23/2020,05/05/2020,34.9
Symptoms of Anxiety Disorder,Delaware,04/23/2020,05/05/2020,29.9
Symptoms of Anxiety Disorder,District of Columbia,04/23/2020,05/05/2020,31.4
Symptoms of Anxiety Disorder,Florida,04/23/2020,05/05/2020,32.6
Symptoms of Anxiety Disorder,Georgia,04/23/2020,05/05/2020,31.9
Symptoms of Anxiety Disorder,Hawaii,04/23/2020,05/05/2020,32.3
Symptoms of Anxiety Disorder,Idaho,04/23/2020,05/05/2020,26.9
Symptoms of Anxiety Disorder,Illinois,04/23/2020,05/05/2020,31.1
Symptoms of Anxiety Disorder,Indiana,04/23/2020,05/05/2020,31.8
Symptoms of Anxiety Disorder,Iowa,04/23/2020,05/05/2020,22.5
